词条名,0min,30min,60min,90min,120min,150min,180min,210min,240min,270min,300min,330min,360min,390min,420min,450min,480min,510min,540min,570min,600min,630min,660min,690min,720min,750min,780min,810min,840min,870min,900min,930min,960min,990min,1020min,1050min,1080min,1110min,1140min,1170min,1200min,1230min,1260min,1290min,1320min,1350min,1380min,1410min,1440min
Mystic致歉信,144927,1269567,317329,457760,453331,383572,243849,195430,181989,176066,116358,78033,60414,42923,30283,21391,16629,15370,13640,10995,10021,11393,16166,31768,,,,,,,,,,,,,,,,,,,,,,,,,
高以翔女友爸爸晒高以翔背影照,137237,4186018,4381774,3776985,3347922,3044177,2968750,1954923,1530252,1246557,478966,387258,302077,223229,210483,163757,77179,76163,58443,33651,29881,26964,29085,41207,61562,101110,99321,101706,94032,96652,,,,,,,,,,,,,,,,,,,
李晨范冰冰,109728,516642,413971,414414,559408,528417,246417,336321,292380,274942,256984,203824,143949,98669,73427,55944,41168,32296,25620,22522,19491,17888,20548,32028,58619,161908,190840,249673,191351,218022,195788,221585,175202,,,,,,,,,,,,,,,,
打卡日本,143229,199100,294174,269039,176695,172421,149327,138941,133102,122081,107215,78395,61267,45293,34561,28084,22176,19116,17979,16850,13754,14160,14837,21023,37963,55122,64112,68284,65204,59631,50712,,,,,,,,,,,,,,,,,,
特朗普又口误,149262,320805,281151,266684,193324,128061,81360,73651,56759,46999,41788,35759,41555,38152,32157,107703,120043,218768,309399,162573,179011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXO延期回归,38653,1247633,1380243,1350344,866860,661771,547286,438204,299132,213591,183680,232890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李荣浩 想上新歌就那么难吗,145292,450705,1939136,2068068,1669629,1274582,438100,308941,287607,285262,268159,258714,260352,262899,217477,163897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你可能吃了假重庆火锅,125853,356626,276695,294965,352270,422439,350306,388813,282604,252715,204819,163886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学生吐槽学习16小时没工资,107404,214028,200352,181932,150204,98298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙悦流泪缅怀吉喆,120792,274498,288283,462628,498214,440628,321811,255085,190291,149135,79647,53201,42005,33722,27732,22902,19779,18473,23138,34362,77531,124885,127464,118028,133830,107930,97224,,,,,,,,,,,,,,,,,,,,,,
