year,name,main_ts,main_hour,main_heat,valley,second_ts,second_hour,second_heat,gap_min,ratio
2019,夜猫子可能是遗传病,2019-10-30 21:30:01,21,267523,53865,2019-10-31 01:44:01,1,266672,254,0.997
2019,考研,2025-12-20 14:20:05,14,360783,98398,2025-12-20 21:50:05,21,323191,450,0.896
2019,浪客行,2019-11-22 22:24:02,22,207462,11530,2019-11-23 23:14:02,23,179899,1490,0.867
2019,王思聪,2021-01-19 21:34:01,21,2506750,404743,2021-01-20 00:14:02,0,2088781,160,0.833
2019,迪士尼公主礼服,2019-12-28 22:42:01,22,716813,48880,2019-12-29 09:28:01,9,551327,646,0.769
2019,山东高铁,2019-12-31 18:44:01,18,141781,16743,2020-01-01 09:58:02,9,104714,914,0.739
2019,李沁金鹤奖最佳女配角,2019-10-30 15:22:01,15,1615013,584908,2019-10-30 17:44:01,17,1189777,142,0.737
2019,陈念与小北之间是爱情吗,2019-10-28 15:06:01,15,1171558,408486,2019-10-28 19:24:02,19,795123,258,0.679
2019,误杀小女孩演技,2019-12-19 18:42:01,18,847594,290248,2019-12-19 22:22:01,22,561101,220,0.662
2019,宇宙少女累瘫在舞台,2019-12-02 09:18:02,9,199942,74158,2019-12-02 19:42:01,19,127595,624,0.638
2019,狗界高考毕业生,2019-12-24 22:42:01,22,157044,18204,2019-12-25 10:12:02,10,98534,690,0.627
2019,该不该帮朋友打掩护,2019-10-30 21:54:01,21,872029,63558,2019-10-31 08:38:01,8,531592,644,0.610
2019,香港警务处处长邓炳强今日赴京,2019-12-06 13:06:01,13,306229,19045,2019-12-07 08:38:02,8,179810,1172,0.587
2019,王珞丹玫瑰金短发,2019-10-28 16:40:01,16,167022,13322,2019-10-29 09:08:02,9,97813,988,0.586
2019,AG超玩会赢了,2019-12-14 22:56:02,22,165680,28396,2019-12-15 06:58:02,6,92695,482,0.559
2019,两千年前动物木乃伊被发现,2019-11-25 13:30:02,13,1240161,341923,2019-11-25 18:00:02,18,630730,270,0.509
2019,英语二,2025-12-20 18:50:04,18,620476,151278,2025-12-20 21:42:04,21,310629,172,0.501
2019,腾讯年会,2019-12-18 23:54:02,23,638819,32965,2019-12-19 08:36:02,8,317323,522,0.497
